Reviews	Whom	when 	Where	Occasion						
Great service from Kelsey and awesome craft cocktails. The partridge and a pear tree is yummers I love the atmosphere. I didnt try the food but heard it was great for bar food. Great spot to hang out with friends and catch up. I like a place I can talk to friends and get great customer service and drinks from the bartender. This place did that!	1	0	0	0	0					
"Good cocktails. Delicious apps. The space leaves a bit to be desired size wise, but has a great look."	0	0	0	0	0					
"Great cocktail bar in north slope. Craft cocktails and cute decor are a big draw for this space. Not too big and perfect for a quiet night in park slope! Cocktails are $14 and during happy hour they are $10. Food is also available, never had any personally but other ordering- looks delicious!"	0	0	0	0	0					
"I had some time to kill and Wolf and Deer seemed like the perfect place to kill it. They have a great happy hour from 5:00 - 8:00. I love it when places extend happy hour to 8:00. They have $9 cocktails and $5 beers. It was a Tuesday so they also had pork sliders for $2 each that came in orders of two or six. The place is long and narrow. Not a lot of space, but they make it work. Immediately upon entering I was handed a menu that looked like a book. Well that's because it was a book. The first bunch of pages were the menu, but the rest was an actual book. I usually just go for the beer, but since this was a cocktail spot and it was happy hour I decided on the Curious George. The cocktail was bourbon, scotch, banana, lime, ginger and topped with some nutmeg. This just sounded amazing and it was. As I was sitting there I saw someone had ordered the pork sliders and they looked delicious, so I asked the bartender for an order of three. These came out fairly quickly and were quite amazing. The bun was just the right size for the amount of meat and they pork was very moist and just melted in your mouth. If you are there on a Tuesday you need to order these."	0	1	0	0	0					
"I haven't written a review for Wolf and Deer? Blasphemy. This place is one of my favorite cocktail bars..... when I can get a seat. Alas the only strike against this place is that the place is somewhat on the smaller side. I'd say arrive at the right time, but who knows what the right time is. I've been there at ""dead"" hours and it was packed. Been there for the ""busy"" hours and there were several spots available. Basically, just get lucky. They make do with the space they have. The bars narrow U shape design that enables the staff to operate behind the bar, with a door at the end to exit. There's some space in the front, I'd recommend it if you came with a crew. Though this place isn't a place you come with a crew. What makes the place clutch is that it has a happy hour that goes till 8. We all can't make it to that happy hour that goes till 7. We have to work. You gotta squeeze in the gym. Or you know, stare at your phone for endless hours, escaping the non exist meaning of life..... Oh wait, back to the review. They know how to make drinks here. If you don't like anything on the menu, they'll make you something you like. The design of the bar is beautiful. Their glasses placed above the bar are a nice touch. It goes hand in hand with the wonderful cocktails they make. I wouldn't say this is a place to get dinner, rather it a place to nibble or grab a snack. They have a few dishes which go perfectly with your drinks. And there are beers to have as well, though what's the point of going to a cocktail bar and not getting cocktails. So make sure you at least get one. There's various reasons to be in this particular spot in Brooklyn. It's essentially the center of it. If you're in the mood for a drink, try stoping by here."	0	0	0	0	0					
"I encountered this place when I was heading to key food for grocery in the car. The first thing that caught my attention was the big ice cubes they were carrying into the bar. In my mind, I'm like what is that place. As a yelper, I looked it up and I'm amazing by the wonderful reviews. So, I came here two time so far and on a Thursday. Every Thursday, they have oyster HH but the oysters came from different places both time I went. Let's talk about the drinks!! They have amazing drinks. I tried everything on the HH menu beside the first one. All of them are unique but I definitely enjoy the fruity or sweet cocktails. So, they have this new drink called bunny foo foo. Apparently, it's so new that they weren't sure how to make it or what cup it's suppose to go into. Also, they didn't have carrot bits to put on it even though it's one of the ingredients. So, they do run out of stuffs but you won't believe it. The chef goes to key food to get more ingredients since it's so close by!! Must try the meat board and definitely get the duck. It was soooo good. Overall, the experience was pleasant both times. Also, make sure to have some cash because one day their credit card system went down and they didn't know about it. They were trying to fix it on the line but it took just way too long and they were on the line for over 30mins. I don't know about you guys but I have better things to do than wait till the credit card system goes back online."	0	0	0	0	0					
"Great bar!! Love the drinks and coziness. Went in with guy friends after a basketball game, and they were in awe of how delicious the cocktails were - even though they were looking for a beer spot. The cocktails were really good, we tried a variety of them, but I can't recall the names. The male bartender (Sunday night) was also awesome, made us some really cool shot-tail just by me asking him to ""please make it strong, and please add some mint"". I would recommend it, especially if you're looking for a place to taste some mixology skills!"	1	1	0	0	0					
"Next up trying the drink"" smoke on the water""- scotch and mezcal cocktail - it was ok."	0	0	0	0	0					
"We came here literally as the place opened at 5 before our Ranger/Islander game at the Barclays. Our bartender, Jackson, was one of the top 5 bartenders I have ever had make me a drink. Wolf and Deer is a small place, that gets packed once 6:00pm hits so grab a seat at the bar while you can. They are labeled as a wine bar but I think more craft than just wine because of all the cocktails, hand crafted in front of you and a few craft beers on tap. The happy hour deals are the craziest part! Especially Thursdays when they have $1 oysters. However, they did not have any oysters cleaned and shucked til 6:15 when happy hour starts at 5. Our bartender was apologetic that we had to wait over an hour for a dozen oysters but we finally got them 15 minutes before we left. They came stacked on a small plate and we weren't handed small plates so eating them was a little difficult. The cheese and charcuterie are top notch. They do a mix of three usually for $15 but HH, mix of three for $12. We started with that because of the oyster issue and had a couple cocktails to start. The Charlotte's Web was great and smooth mouth feel from the egg white. My girlfriend's cocktail came from the bartender recommendation but I forgot the name but loved the little spice after you sipped it.I would easily come back here but hopefully the oysters are ready. The reason I would come back is the bartending and the menu are easily some of the best in the area, especially with an amazing happy hour."	1	1	0	0	0					
"Wow this place is just awesome. A tiny little bar with great happy hour specials, this place caters to wine, beer, and cocktail lovers. The bar is very narrow which gives the place an intimate setting. I came here with my boyfriend before the Rangers game to grab some drinks and a bite to eat. Their happy hour is amazing - special priced house cocktails, $12 cheese and meat board, and $1 oysters!!! We arrived a little after the place opened and sat at the bar. We chatted with the bartender Jackson who was very nice! The menu itself is very cool they're books! I had the drink Where the Wild Things Are and my boyfriend had the Charlottes Web. Mine was sweet with a nice little spice on the end of the drink and my boyfriends was nice and creamy from the egg white. They have a good selection of meats and cheeses on the menu. However, we were a little disappointed with the oysters. We had to wait over an hour for them when they should have been ready by 5. Not sure what was going on in the kitchen - they were very slow. We have another event at the Barclays center and I plan on coming back here beforehand. Jackson was the best bartender! He was very nice and he even took 20% off our bill AND gave us a free beer! This place rocks and I will definitely be back."	1	0	0	0	1					
Love the U shaped bar. They really manage to do a lot within a very tight narrow space. Great happy hour and awesome cocktails. The only criticism I have is that I'm always annoyed when establishments try too hard to be hipster and edgy by using impractical things like old books for menus but I'm kind of an asshole so whatever-it's cute I guess but annoying to flip through.	0	0	0	0	0					
"Cute cocktail bar with cool ambience. Great date spot. The menus are inside classic books, great way to spark conversation and impress your literature-loving dates and friends! Drinks aren't cheap but the cocktails are good. Worth checking out."	0	0	0	0	0					
Coool amazing place. I loved the drinks and especially the cheese plate and grilled cheese.	0	0	0	0	0					
"I can't believe I haven't reviewed this place. I love it! Every cocktail I've had has been amazing. Each one is based on a different children's story, and the menus are inside of old books. These cocktails are creative and well-thought out. I think they change them periodically as well. The last time I went, I had ""Where the Wild Things Are"". It was appropriately swampy in color. I can't remember what was in it, but it was fantastic. On previous visits, I've had the Alice in Wonderland and the Secret Garden (my favorite). Their happy hour is such a steal. Around $8 or $9 for their bartime stories. Such a good deal for a well-crafed cocktail in a cute venue."	0	0	0	0	0					
Super cute spot to grab a drink with a friend and finger foods. The raw oysters were GREAT and the customer service was great!	0	0	0	0	0					
Ordered: Deviled eggs and Beef rollersCons--The beef rollers tasted like they were from a frozen box. The deviled eggs were unimpressive.	0	0	0	0	0					
Can't give enough props to Moose and Squirrel. Stacked bar; interesting bartenders; surprising cocktails.	0	0	0	0	0					
"Wolf and Deer is a small, intimate bar right by Barclays Center that serves delicious cocktails, a good selection of beer and wine, and an assortment of food options - meat & cheese plates, bar snacks, grilled cheese. From the ambience to the menu selections, this is a perfect place for a date night or catching up with a friend. Since it is right by Barclays Center, it is also a perfect place to grab a drink or two and some food before a game or concert (and luckily catch their happy hour). We came in around 10 PM on a Tuesday night looking for drinks and a small bite to eat. We had trouble deciding what to order since all the cocktails sounded appealing. You can tell a lot of thought and creativity went into the menu. Since their cocktails are named after children's books, I based my decisions on my two favorite childhood stories - Where the Wild Things Are and Charlotte's Web. Both were delicious. Where the Wild Things Are was a sweet cocktail with a nice spicy kick - I really loved this one and if it wasn't for the fact that I wanted to try something new, I would've gotten a second one. Charlotte's Web was a creamy egg-white cocktail. We also got a meat & cheese plate and pork sliders (Tues. special - $2 each for pork sliders). The standout was the Sofia cheese. If you love goat cheese and/or blue cheese, GET IT...it's amazing.Can't wait to come back and try more cocktails!"	1	1	0	0	1					
"One of the best cocktail bars in Brooklyn!!! Loved the set up of the bar, the cocktail choices and Lana the rocks! Will definitely be back here again!Must try 'peck of pepper'!!"	0	0	0	0	0					
"I made a stop here after my besties birthday. We were already pretty wasted by the time we stumbled in, what I really liked about this place was how the bar is set up. Its in a semi circle and the bartender is right in the middle. It was very easy to get her attention. Another cool part about this bar is the menus are inside of books. I was given the Spanish version of Harry Potter. The drinks are fun because the ingredients are fresh our bartender....Laura?! Was amazing she made us her take on a long island ice tea, which was amazing. Very light she put some kind of champagne in it. We were there until about 1:45 almost 2 and as the place died down we got to chat with the bartender ( sorry was plastered don't recall her name, I think it was Laura) she was funny and charismatic.A great stop if you are in the neighborhood."	1	1	0	1	3					
"Amazing drink menu and ambiance. Stopped in here on Thursday night and it was packed. Definitely stop in if you're in Park Slope! The tall, dark bartender is the best. Extremely knowledgable and thorough."	0	1	0	0	1					
"Strolling thru the neighborhood,this is def a spot to check out. Hole in the wall joint, great service and lovely appetizers. Chill place to visit after dinner for some drinks. Love it"	0	1	0	0	1					
"Stopped in before a concert at Barclays and was so pleased with my experience. The cocktails were strong and delicious. They had a delicious Mango beer on tap which is $5 during happy hour until 8PM! We had the meat rolls, which was like a taquitos with a spicy mayo, pretty good. The real winner was the truffle grilled cheese, absolutely delicious!!! The bartenders were so nice, the two working had a great banter, they were making up new drinks and having us try them. Everything was very reasonably priced, such a great place to go before anything at Barclays, highly recommend."	0	1	0	0	1					
Tiny bar in the slope with nice bartenders and an intimate vibe. Drinks are served well. If you are claustrophobic...skip it.	0	0	0	0	0					
"Visited this place during my travels to New York with a friend. Loved it. Excellent service! And I loved the deviled eggs with caviar!Oh, and the vibe at night is very cool - lighting, the folks sitting at bar, friendliness, and overall good cheer!"	0	1	1	0	2					
"I've lived two blocks away from Wolf and Deer for the better part of three years and never noticed it. Probably because it's a pretty narrow and nondescript space.But in reality, it's a super neat cocktail bar. Their menu is inventive, their bartenders are friendly, their cocktail menus are glued inside real books, and they have a kick ass happy hour until 8pm on weekdays. What's not to like?Anyway, I had several of their cocktails. The Barnyard Dance (a spicy tequila based cocktail), the Secret Garden (a cucumber, minty, vodka/St. Germain one), and something else I don't remember because the first two drinks were so strong (something with candied ginger as a garnish). Good cocktails, especially at the happy hour prices ($8 a pop).The bar itself is pretty narrow (with the service area smack dab in the middle), and there's only one bathroom. So expect to have people brushing past you. The bar seats are also strange and not very comfortable (they have this weird narrow metal back).But other than that, I look forward to coming back. Hope to come back and try their charcuterie plates because I saw some people getting some and it looked delicious and plentiful.By the way, it's a good date spot. Hint hint, wink wink, nudge nudge."	0	0	1	0	1					
"Can't get enough of wolf and deer. Bartenders are super cool and offer great service but to top it off they have some serious bar chef skills! Go here, drink it up, you'll leave very satisfied. We can't wait to go back."	0	0	0	0	0					
"Had some time before getting seated for dinner down the street, so sought a bar with great cocktails. I don't remember the names of the cocktails but these were deliciously the spiciest and smokiest cocktails I've ever had. The bartenders meticulously prepare each one with care and you can definitely tell at first sip. Coming back for sure."	0	1	0	0	0					
"Perfection of ambiance, service, food and drink.I came here solo quite early on (Friday, around 6pm), and stayed for about an hour and a half. This is a terrific place to have a few drinks and a light set of appetizers solo. The design of the bar is intimate, beautiful and very unique. I would delighted to come here on a date, but this is a magical place that was amazing on my own too. I had prosecco, red wine, and 3 cheeses. The cheese selection was chosen with the help of the bartender and was sublime, and the drinks were terrific. I hope to return here even during this short NY trip, and try their cocktails too.(PS: Happy hour is AWESOME.)"	1	1	1	0	3					
"I would like to give this place at least 4 stars because I really enjoyed the drinks, but unfortunately I cant. While the bartender was very nice, my husband was served in a dirty glass with a lipstick rim. I thought that was completely unacceptable, not to mention unsanitary. No wonder they have a B grade."	1	0	0	0	1					
"I love it here. The wine list is fab. The whole vibe is fab. The music selection is fab. The cheese and charcuterie are fab. This is a place that I always feel in the mood to go. Although I'd say the main purpose of such a place is a date, with the quiet-night-of-conversation-with-a-good-friend as the only other option. This is NOT a group spot at all. To me, that's not a big deal. I have heard that the cocktails are subpar. I don't care because I'd always rather have wine. But, if you aren't a wine person you may find yourself disappointed."	0	0	0	0	0					
"I was very impressed with how nice it looks. Great atmosphere, first-rate design. Sat at the bar and had delicious glass of Torrontes for $8, and the salmon sandwich for only $9, and it was off the charts. I think they haven't been open too long, so I'm happy with how good the food and service were for a new place. A great addition to the north slope, and I'm definitely going back!"	0	0	0	0	0					
"I was looking forward to trying this place as I walk by all the time, and after going last weekend, it was as good as I hoped.My friends and I tried a couple of cocktails - the Buenos Noches, Luna, and the James and the Giant Peach. The BN,L was awesome - spicy chipotle flavor, but not overwhelming. The JatGP was tasty - hard to go wrong with bourbon, maple syrup, and peach.I dug the decor and vibe - dark wood and lots of beautiful metalwork. The wine rack over the horseshoe bar was pretty cool.I can't wait to go back and try some of the food. I'm excited to have this place in the neighborhood."	1	0	1	0	2					
"I ve been super excited to check this place out,so me and a friend went there on a sunday night around 10:30pm. There were 6 people having drinks at the bar,but the bartender awkwardly said that we can only stay for a ""quick one"". We came all the way from the city and it was really lame. I am a bartender too and i get it,we all just wanna go home,but come on-last call at 10:30 on a halloween weekend? Pretty disappointing."	1	1	1	1	4					
Such a cute little bar. I didn't spend much time here but the vibe is really nice with some good cocktail options and yummy-looking appetizers.	0	0	0	0	0					
"This place is a win win in my book... the decor is nice, great music, the staff is friendly and knowledgeable, and the layout is open so I feel it's great place for patrons to end up joining in the same conversation. This is a great place for a date."	0	0	0	0	0					
"New place - so I'll forgive them still working out some kinks. This place might be classified as as 'wine bar', but for me, the draw is the cocktail list. The bartenders seem to know what's up - shaking and stirring some of the better cocktails I've had at extremely reasonable prices. However, the cocktail list is hit and miss, so this place might take some practice. At least they're strong!"	0	0	0	0	0					
"Love this bar. Great happy hour from 5pm-8pm. The decor is charming and cute. Bartenders are very friendly and down to earth. Owner also created Miriam, stops by some times - very friendly guy too. Love the salmon sandwich. The milkstout there is awesome. Highly recommend for hanging out with friends or date night."	0	0	0	0	0					
"Great place with nice happy hour. Small place, but nice bartenders. Very charming."	0	0	0	0	0					
"Love this place - it's just around the corner from our apartment. Fantastic atmosphere, great menu, great bartenders who take their time with each drink. I highly recommend the cucumber cocktail (can't remember the name) - but everything I've had here is great. An ideal date spot."	0	0	1	0	0					
"Wolf + Deer is a GREAT BAR. well, it is for me, and so i think probably for you too. One of the very nice things about it - besides the wine, cocktails and MOST IMPORTANTLY TO ME beer! - is that they encourage you to stay a little while, hang loose with your friends and family. i went the first week and it was nice and the service was good although did not have a traditional American pace to it (opposite experience of what i think another reviewer was saying about rushing the check).and then my second visit was a few days ago and everything had improved. i think it will always be getting better. cheers to wolf + deer!"	1	0	0	0	1					
"Went by with a couple of friends for some drinks and eats before a show at BAM. The food and cocktails were quite good. Unfortunately, the snotty bartender put a damper on our experience. She was quite rude and short...which is a service industry no-no. I've been a bartender for many years, so I do expect good service in a place like Wolf and Deer. The quality of their food and cocktails did not match this girl's crappy attitude. Luckily the other bartender was quite nice. But we won't be back. Wolf and Deer is a lovely place, but some attention should be paid to the quality of their ""hospitality."""	1	0	0	0	1					
Always have a nice time here. Staff is friendly. Crowd is cool. I'm a fan!	0	0	0	0	0					
"Very friendly, helpful bartender and cool ambience here. We hit it at happy hour which offered good value. We didn't eat here but the menu looked very interesting. In fact, the beverage and food menu here is very eclectic. I would return."	0	0	0	0	0					
"Ordered a kettle and soda there was a red thing floating in my drink. I asked the bartender if she knew what it was. Instead of pouring the drink out and giving me a new one she proceeded to try and scoop it out with a dirty spoon she found behind the bar. After finally getting it out along with half my drink, she added more ice to make it look full! Then charged me the full price of $11. Disgusted!!!"	0	0	0	0	0					
Cute place with good drinks and wine. Nice and dim and cozy. I like it	0	0	0	0	0					
"popped by monday for a catch up nightcap with a gal pal. i got the pink moon - gin based, which i like to say is a fancier g &t with lime and grapefruit juice. it was good. my pal had the james and the giant peach but they ran out of peaches. i had a sip and that cocktail was pretty sweet. i like to taste my bourbon. they have good cheese and meat platters on saturdays, so i might be back to check those out."	1	0	0	0	1					
"Wolf and Deer is a very stylish bar -- maybe too stylish. I mean, the name is basically the #1 indie rock band name noun of 2005 + the #1 indie rock band name noun of 2009. Eyeroll. The ovular bar was beautiful, but throwing the menu into an old book was trying a little hard. My menu came in a book about menstruation, which didn't exactly whet my appetite, so I opted to not sample the food. The techno music was unbearable, but the bartender was so friendly that I couldn't bring myself to complain. It's the kind of bar where people in their 30s who only wear black, gray and denim go to get laid, and anyone in another demographic is there to insecurely exert their coolness. Which is basically what single 30-somethings who don't wear color are doing, anyway. I'm guessing this place is better on a weeknight, when it's more about unwinding and less about displaying your feathers. It's lovely, but the whole thing is kind of a candlelit parody of itself."	0	0	0	0	0					
close but no cigar. should do more with the front area. food menu not quite big/good enough. ambiance almost but not quite - the menu/book idea isn't bad per se but execution was just kind of cheap and shoddy. this place really has potential if they go all in	0	0	0	0	0					
"Wolf and Deer is the best. Edwin and Frank, the bartenders, are great. Drinks are amazing. Atmosphere is lovely and the prices are fantastic!"	0	0	0	0	0					
"Amazing cocktails, delicious malt beer and very cool interior. Not so good wines by the glass, but great for everything else!"	0	0	0	0	0					
"This was my second time at Wolf and Deer, catching up with a good friend and having a lovely time escaping from the sweltering heat outside. The place is small but nice and great for a long conversation. The meat and cheese plates are super tasty, the happy hour is great, and they even have oysters. But sadly, Wolf and Deer and me had to break up today because when my friend and I looked down at our plate, it turned out we were sharing our prosciutto with a sizable ROACH! He made a pass at the oysters too, at which point my friend shrieked and the bartender took the offensive plate away with Mr. Roach scurrying off down the bar. I'm sure he found a new tasty treat in no time. We were comped the price of the dish the roach sampled but feel like we should have been comped our whole check. I was too frazzled and disgusted to think about it and feel like the bartender was a little too nonchalant about the whole thing. I'm pretty bummed because I did really like this place, but I obviously will not be coming back. They should not be serving food. Guess I have to learn to make my own cool cucumber drink."	1	0	0	0	1					
"Love this small, but intimate/cute bar. Perfect for a date or for a girls cocktail hour -- never too crowded, always could talk at normal talking voices The mixologists are great, with mixed drinks that could rival some of the more expensive speak easys of Manhattan. Their mixed drink menu has always been different each time I've visited. The wines are all very crisp and well chosen. If interested in appetizers, try the charcuterie/cheese plates or their special deviled eggs."										
"Happy to have this place! in the hood. Friendly staff, nice wines, had the grilled cheese and a salad and it was tasty."	0	0	0	0	0					
"Wolf and Deer is a hip little bar in Park Slope. I really like the layout of the bar. The venue is pretty narrow - maybe only 10 feet wide. The bar is positioned as a peninsula placed down the middle of restaurant and is against the back wall. This adds extra bar seats due to the U shape.The bartenders are friendly and attentive. They served our drinks quickly and placed our food orders promptly with the kitchen. The service was superb.There's a small selection of excellent craft beers on tap and in bottles. There were about four on tap and eight bottles. There was a nice offering of wines and an outstanding selection of craft cocktails. I didn't order a cocktail, yet I witnessed the skill of the bartenders in making them. Truly a display of wonderful artisanship.We decided to order a couple appetizers. We had the deviled eggs and the beef rollers. The beef rollers were a simple beef taquito with a spicy Russian dressing like sauce. I really enjoyed the deviled eggs. I thought they were are nice pairing with the red wine I was having at the time."	0	0	0	0	0					
"The drinks here are incredible. Service is great. Menu is cool as hell. Food is very satisfying. And Kelsey is freaking awesome. Like, beyond description. Stop in for some refreshing and delicious cocktails and grab some food. They always have something new and creative going on. You won't be disappointed."	0	0	0	0	0					
This place is a total gem! We went here for an evening cocktail and the bartenders know what they are doing. My wife asked the bartender what was her favorite drink and the bartender asked her what she enjoyed drinking? The bartender then made my wife a drink that was not even on the menu. My wife loved it! I ordered the watermelon drink and it was DELICIOUS! I would definitely say this is a place you must check out because their unique take on drinks is AMAZING! Did I mention their cocktail/wine menu is inside of a book that you can also read while sipping on your drink!	1	1	0	0	2					
"Damn, this place was such a wonderful find. All around great place, wonderful vibe and the cocktails were amazing. And the food was damn good. The place doesn't have a full kitchen; they do cheese and charcuterie and paninis etc and they are all damn good. Deviled eggs are amazing and their attention to the cheeses and meats they serve are legit and fabulous and served perfectly. Go and enjoy. Awesome bartenders too."	0	0	0	0	0					
If I can give this place negative stars I would. Service was completely horrible!!!!! When my friend and I asked for a menu at the bar a male bartender threw the menu towards us! Did not even bother asking us if we wanted anything! I work for customer relations and all I can say is this make bartender needs some serious customer relationship skills. Would never bother even driving by this place.	1	0	0	0	1					
"Atmosphere: intimate wine bar suitable for after work drinks or a date night with your SO. Narrow bar with seating that wraps around both sides and some standing room if you can't get a seat.Happy hour: they do have happy hour wine specials on both wine and champagne.Food: expect meat and cheese plates as well as small plates, tapas style that you are shareable.Drinks: champagne was fresh and inexpensive during HH. I did not have the wine but it is a wine bar, so would assume that they have an expansive selection.Overall: went here on a date, and it wasn't too loud or overcrowded. Nice lighting, attentive service and a good Thursday night spot."	1	1	0	1	3					
Looking for a late night spot to get a drink a friend and I were led here. There were probably 6 other people inside besides us. I like the size and look of the bar. I can't write a drawn out review b/c I stuck with one drink for the night... the secret garden w/ gin instead of vodka....amazing!!!I will definitely be here on nights when I get writers block...HA!	1	1	0	0	2					
"Great atmosphere with the bar in the round, creating an almost communal space that's great for conversations. The menus, based on books, feature a range of craft cocktails all named after literary works. The Velveteen Rabbit, based on a classic gin, was a true highlight. The deviled eggs are delicious and should not be passed up."	0	0	0	0	0					
